Year,Yield (ton/ha)
2000,4.2432
2001,4.2853
2002,4.5903
2003,4.6387
2004,4.855300000000001
2005,4.8891
2006,4.8943
2007,4.9868999999999994
2008,5.2336
2009,5.2372
2010,5.341600000000001
2011,5.5383000000000004
2012,5.6353
2013,5.5726
2014,5.7538
2015,5.7597
2016,5.5738
2017,5.5476
2018,5.818
2019,5.8371
2020,5.9212
2021,6.074
2022,6.018
2023,6.1135
